German,English
die Lunge,the lung
der Blutkreislauf,the blood circulation
der Sauerstoff,the oxygen
das Kohlendioxid,the carbon dioxide
der Nährstoff,the nutrient
die Stirn,the forehead
die Kehle,the throat
der Hals,the neck
der Oberarm,the upper arm
der Unterarm,the forearm
die Faust,the fist
der Fingernagel,the fingernail
die Hüfte,the hip
das Herz,the heart
das Gehör,the hearing
der Atem,the breath
die Figur,the figure
die Haut,the skin
der Nerv,the nerve
der Muskel,the muscle
die Gesundheit,the health
die Krankheit,the sickness
AIDS,AIDS
die Ansteckung,the infection
der Lungenkrebs,the lung cancer
die Blinddarmentzündung,the appendicitis
die Kreislaufprobleme,the circulatory problems
der Tumor,the tumor
die Darmverstopfung,the constipation
die Narkose,the anesthesia
die Abtreibung,the abortion
der Blinde,the blind person
der Taube,the deaf person
der Stumme,the mute person
die Jugend,the youth
hinken,to limp
kratzen,to scratch
verbinden,to bandage
die Wunde verbinden,to bandage the wound
niesen,to sneeze
blind,blind
taub,deaf
stumm,mute
der Behinderte,the disabled person
schmerzfrei,painless
nackt,naked
barfuß,barefoot
schädlich,harmful
in Ohnmacht fallen,to faint
der Verkehr,the traffic
"der Lastkraftwagen (LKW), der Lastwagen","""the truck (LKW)"""
die Umleitung,the diversion / detour
die Radarkontrolle,the speed trap
das Straßenschild,the road sign
die Vorfahrt,the right-of-way
die Schranke,the barrier
das Nummernschild,the license plate
die Fensterscheibe,the window pane
das Lenkrad,the steering wheel
der Komfort,the comfort
der Alarm,the alarm
die Not,the emergency
der Zufall,the coincidence / chance
schieben,to push
sich bewegen,to move
sich entfernen,to move away
etwas festmachen,to fasten something
etwas zurücklassen,to leave something behind
blockieren,to block
einem Auto ausweichen,to avoid a car
sich anschnallen,to buckle up
ein Auto abschleppen,to tow a car
etwas beschädigen,to damage something
jemanden an etwas hindern,to prevent someone from something
verschlimmern,to worsen
erkennen,to recognize
hilfsbereit,helpful
bestimmt,certain / specific
unglaublich,unbelievable
unfähig,incapable
locker,loose
fest,firm / tight
positiv,positive
negativ,negative
katastrophal,catastrophic
falsch parken,to park illegally
die Autopanne,the car breakdown
das Motorrad,the motorcycle
die Industriemesse,the trade fair
die Motorhaube,the hood (of a car)
das Autokennzeichen,the license plate
das Blech,the sheet metal
die Funktion,the function
die Batterie,the battery
die Beleuchtung,the lighting
der Behälter,the container
das Motoröl,the motor oil
die Ursache,the cause
die Tätigkeit,the activity
die Mittagspause,the lunch break
der Versuch,the attempt
das Werkzeug,the tool
das Gutachten,the expert opinion
die Dauer,the duration
die Straßenbahn,the tram
der Fortschritt,the progress
die Querstraße,the cross street
die Anfahrt,the arrival / journey there
die Abfahrt,the departure / journey from there
das U-Boot,the submarine
die Fälschung,the forgery / fake
das Teil,the part
testen,to test
fälschen,to forge / fake
funktionieren,to work / function
sich bücken,to bend down
drehen,to turn / rotate
verursachen,to cause
abtrocknen,to dry off
vernichten,to destroy
gebrauchen,to use
überholen,to overtake
solide,solid
gewissenhaft,conscientious
spätestens bis,at the latest
abwesend,absent
ungepflegt,neglected
der Anlass,the occasion
die Region,the region
der Verkauf,the sale
der Text,the text
der Werbespot,the commercial
die Ausgabe (einer Zeitung),the issue (of a newspaper)
die Medien,the media
der Zustand,the condition / state
der Verbrauch,the consumption
die Sicherheit,the safety
das Leder,the leather
der Anhänger eines LKW,the trailer of a truck
die Schwierigkeit,the difficulty
der Reifen,the tire
die Summe,the sum
der Liter,the liter
aufgeben,to give up
eine Anzeige aufgeben,to place an ad
fehlen,to be missing
beschädigen,to damage
hinten,behind
vorne,in front
tief,deep
nützlich,useful
aktuell,current
besser,better
gebraucht,used
irgendetwas,anything
klar,clear
anscheinend,apparently
insofern,insofar as
zur Zeit,at the time
zumindest,at least
selten,rarely
spitz,pointed
sondern,but rather
aus zwei Teilen bestehen,to consist of two parts
die Wirkung,the effect
Wirkung zeigen,to show effect
die Ehrlichkeit,the honesty
die Niederlage,the defeat
der Luxus,the luxury
die Allgemeinen Geschäftsbedingungen (AGB),the general terms and conditions (GTC)
der Handel,the trade / commerce
mit Waren handeln,to trade goods
ein Kilogramm,a kilogram
ein Prozent,one percent
sich melden,to get in touch
steigern,to increase
bar zahlen,to pay in cash
rechnen,to calculate
sich lohnen,to be worth it
verhandeln über,to negotiate about
übertreffen,to surpass
überreden,to persuade
zwingen,to force
"handeln, agieren","""to act, to take action"""
jemanden überraschen,to surprise someone
behaupten,to claim / assert
aufrichtig sein,to be sincere
sich anpassen,to adapt
(Geld) verdienen,to earn (money)
reich sein,to be rich
arm sein,to be poor
kostbar,precious
neidisch,envious / jealous
lächerlich,ridiculous
ehrlich,honest
rücksichtsvoll,considerate
nüchtern (i.S.v. nicht betrunken),sober (not drunk)
verwundert,surprised
instinktiv,instinctive
passend,suitable / fitting
mündlich,oral
genauso,the same way
genauso viel,just as much
es ist egal,it doesn's matter
Zahlen bitte!,Check please!
ein günstiger Preis,a favorable price
Rücksicht nehmen auf,to be considerate of
die Buchhandlung,the bookstore
der Buchtitel,the book title
die Auswahl,the selection
die Literatur,the literature
das Gedicht,the poem
der Autor,the author
ein allwissender Erzähler,an omniscient narrator
die Handlung,the plot
der Satz,the sentence
die Zeile,the line
die Einleitung,the introduction
der Singular,the singular
der Plural,the plural
die Aussprache der Wörter,the pronunciation of words
die Bedeutung,the meaning
das Diktat,the dictation
die Definition,the definition
das Verzeichnis,the directory / index
die Fortsetzung,the sequel
der Krimi,the crime novel / thriller
der Comic,the comic
das Märchenbuch,the fairy tale book
das Bilderbuch,the picture book
die Fantasie,the fantasy
das Fabelwesen,the mythical creature
die Hexe,the witch
der Vampir,the vampire
der Zirkus,the circus
die Schaukel,the swing
das Jahrhundert,the century
der Krieg,the war
der Befehl,the order / command
die Schlacht,the battle
das Opfer,the victim
der Feind,the enemy
der Rivale,the rival
das Gewehr,the rifle
"die Spitze (Bergspitze, Messerspitze)","""the peak (mountain peak, tip of a knife)"""
die Burg,the castle
der Thron,the throne
der Bettler,the beggar
der Diener,the servant
der Schlitten,the sled
die Nichte,the niece
vorlesen,to read aloud
diktieren,to dictate
begreifen,to comprehend / understand
wiedergeben,to reproduce / retell
flüstern,to whisper
vorschlagen,to suggest
herrschen,to rule
kämpfen,to fight
jagen,to hunt
feindlich,hostile
befehlen,to command
erwürgen,to strangle
verwandeln,to transform
verbannen,to banish
gewaltig,huge / immense
damals,at that time / back then
historisch,historical
Es war einmal ...,Once upon a time ...
die Katastrophe,the catastrophe
die Not,the distress / hardship
das Unglück,the misfortune / disaster
das Risiko,the risk
der Hilferuf,the call for help
die Morgendämmerung,the dawn
die Energie,the energy
der saure Regen,the acid rain
der Abgrund,the abyss
die Warnung,the warning
Achtung!,Attention! / Watch out!
die Furcht,the fear
die Flucht,the flight / escape
die Folge,the consequence
der Waldbrand,the forest fire
die Flamme,the flame
das Erdbeben,the earthquake
die Überschwemmung,the flood
die Flutwelle,the tsunami
die Welle,the wave
der Untergang,the downfall / sinking
der Sturm,the storm
der Hagel,the hail
der Frost,the frost
die Schneeflocke,the snowflake
der Tote,the dead person
der Überlebende,the survivor
die Entwicklungshilfe,the development aid
der Helfer,the helper
die Wissenschaft,the science
der Wissenschaftler,the scientist
warnen,to warn
rufen,to call / shout
kreischen,to scream
fliehen,to flee
fürchten,to fear
riskieren,to risk
überleben,to survive
fallen,to fall
herunter stürzen,to fall down
begraben,to bury
angreifen,to attack
zerstören,to destroy
brennen,to burn
schneien,to snow
abreißen,to tear down
entzündet,inflamed
chronisch,chronic
ängstlich,anxious
ökologisch,ecological
schadstoffarm,low-pollutant
einer Gefahr ausweichen,to avoid a danger
der Tabak,the tobacco
die Zigarre,the cigar
die Brauerei,the brewery
der Alkoholiker,the alcoholic
das Treffen,the meeting
die Bekanntschaft,the acquaintance
die Redensart,the idiom / saying
der Meinungsaustausch,the exchange of opinions
die Kritik,the criticism
der Kritiker,the critic
der Humor,the humor
der Witz,the joke
der Angeber,the show-off
der Zuhörer,the listener
die Bewunderung,the admiration
die Verwechslung,the mix-up / confusion
die Erinnerung,the memory
das Bügeleisen,the iron
verabreden,to arrange to meet
begegnen,to encounter / meet
wiedererkennen,to recognize again
begleiten,to accompany
sich duzen,"to use the informal ""du"""
sich siezen,"to use the formal ""Sie"""
schweigen,to be silent
scherzen,to joke
verwechseln,to mix up / confuse
sich erfrischen,to refresh oneself
bügeln,to iron
jemandem vertrauen,to trust someone
kritisieren,to criticize
aufmerksam,attentive
fröhlich,cheerful
lieb,dear / kind
humorvoll,humorous
unterhaltsam,entertaining
kritisch,critical
arrogant,arrogant
schüchtern,shy
dilettantisch,amateurish
betrunken,drunk
enthaltsam,abstemious
persönlich,personal
das Lächeln,the smile
die Beziehung,the relationship
das Interesse,the interest
das Kompliment,the compliment
die Ausstrahlung,the charisma
die Bescheidenheit,the modesty
der Sex,the sex
der Zufall,the coincidence
sich befinden,to be located
beachten,to notice / pay attention to
sich interessieren für,to be interested in
sich bemühen,to make an effort
bewundern,to admire
jemandem gefallen,to please someone
etwas gemeinsam haben,to have something in common
jemanden verführen zu,to seduce someone to
erobern,to conquer
sich umarmen,to hug each other
einhüllen,to wrap
spüren,to feel
fühlen,to feel
berühren,to touch
verwöhnen,to spoil
verhüten,to use contraception
sich einbilden,to imagine
zögern,to hesitate
verlegen sein,to be embarrassed
charmant,charming
hinreißend,gorgeous / ravishing
zärtlich,tender / affectionate
zufrieden,satisfied
vertrauensvoll,trusting
außergewöhnlich,extraordinary
genial,brilliant / ingenious
angenehm,pleasant
unendlich,infinite
ewig,eternal
liebenswert,lovable
intim,intimate
erotisch,erotic
prüde,prudish
nervös,nervous
schwach,weak
beinahe,almost
zufällig,by chance
gemeinsam,common / together
unzertrennlich,inseparable
"welche, welcher, welches","""which"""
irgendjemand,anyone / somebody
weder noch,neither ... nor
gerade,just / straight
Ich liebe dich.,I love you.
das Konzept,the concept
die Idee,the idea
die Ankündigung,the announcement
die Liste,the list
der Eintrag,the entry
die Einladung,the invitation
die Überschrift,the headline
der Punkt,the point
der Begriff,the term
die Kopie,the copy
der Druck,the print
das Wörterbuch,the dictionary
der Buntstift,the colored pencil
der Moment,the moment
die Zeremonie,the ceremony
der Hochzeitsplaner,the wedding planner
die Unterkunft,the accommodation
das Leben,the life
die Gegenwart,the present (time)
ankündigen,to announce
einladen,to invite
anstoßen,to toast
wahrnehmen,to perceive
korrigieren,to correct
einführen,to introduce
bejahen,to affirm
etwas verteilen,to distribute something
falten,to fold
das Papier falten,to fold the paper
wegbringen,to take away
verhüllen,to veil / cover
sich beschränken,to limit oneself
atmen,to breathe
gleich,same / equal
unterschiedlich,different
wenig,little
ursprünglich,original
künstlich,artificial
grundsätzlich,in principle / fundamentally
unmittelbar,immediate
dumm,stupid
schlau,clever
umständlich,complicated
dankbar,grateful
optimal,optimal
dringend,urgent
eventuell,possibly / perhaps
kaum,hardly
ausschließlich,exclusively
wahrscheinlich,probably
tatsächlich,actually
dafür,for it / in favor
dagegen,against it
überall,everywhere
zugleich,at the same time
fest,firm / fixed
ziemlich,rather / quite
der Händler,the merchant / dealer
die Öffnungszeiten,the opening hours
die Mehrwertsteuer,the value added tax (VAT)
das Schaufenster,the shop window
die Dekoration,the decoration
die Umkleidekabine,the changing room
die Wäsche,the laundry
die Mode,the fashion
das Parfüm,the perfume
der Geruch,the smell
die Kette,the chain
der Gürtel,the belt
der Kragen,the collar
der Fleck,the stain
die Nadel,the needle
der Faden,the thread
der Optiker,the optician
der Frisör,the hairdresser
der Bart,the beard
die Haarspange,the hair clip
die Kerze,the candle
das Feuerzeug,the lighter
das Streichholz,the match
anzünden,to light
ausgeben,to spend
in Erwägung ziehen,to consider
betrachten,to regard / to view
etwas auswählen,to choose something
erledigen,to get something done / to handle
vorbereiten,to prepare
anziehen,to put on (clothes)
ausziehen,to take off (clothes)
dekorieren,to decorate
nähen,to sew
verzieren,to decorate
wählen,to choose
zwischen zwei Gegenständen wählen,to choose between two things
sich etwas ausleihen,to borrow something
veranlassen,to arrange for / to cause
bestehen auf,to insist on
sich benehmen,to behave
modern,modern
sich rasieren,to shave
niedlich,cute
gut riechen,to smell good
zum Geburtstag gratulieren,to wish a happy birthday
die Verwandtschaft,the relatives
der Verwandte,the relative
die Herkunft,the origin
die Erziehung,the upbringing / education
der Kontakt,the contact
die Verbindung,the connection
das Mitglied,the member
die Ordnung,the order
die Schwangerschaft,the pregnancy
die Geburt,the birth
das Baby,the baby
der Jugendliche,the teenager / adolescent
die Geschwister,the siblings
die Zwillinge,the twins
die Schwägerin,the sister-in-law
der Schwager,the brother-in-law
der Neffe,the nephew
die Nichte,the niece
der Schwiegersohn,the son-in-law
das Alter,the age
die Vergangenheit,the past
der Schatten,the shadow
der Versager,the failure
der Friedhof,the cemetery
die Beerdigung,the funeral
der Tod,the death
Ostern,Easter
adoptieren,to adopt
Unterhalt zahlen,to pay child support
sterben,to die
eintragen,to register
erwachsen sein,to be an adult
streng sein,to be strict
fluchen,to curse / swear
verwandt,related
jugendlich,youthful
autoritär,authoritarian
privat,private
ähnlich,similar
schwanger,pregnant
vollständig,complete
der Musiker,the musician
das Lied,the song
das Konzert,the concert
der Sänger,the singer
das Orchester,the orchestra
das Heft,the notebook / booklet
das Cello,the cello
der Kontrabass,the double bass
die Trommel,the drum
die Trompete,the trumpet
der Rhythmus,the rhythm
der Klang,the sound
die Probe,the rehearsal
die Bühne,the stage
der Auftritt,the performance
die Begabung,the talent / gift
die Verbesserung,the improvement
die Langeweile,the boredom
der Anfang,the beginning
der Verlauf,the course / progress
das Original,the original
singen,to sing
tanzen,to dance
üben,to practice
proben,to rehearse
spielen (mit Spielzeug),to play (with a toy)
ein Instrument spielen,to play an instrument
verbessern,to improve
wiederholen,to repeat
jemanden vertreten,to represent someone / fill in for someone
sich kümmern um,to take care of
aufhören,to stop
betonen,to emphasize
sich langweilen,to be bored
beurteilen,to judge
noch einmal,once more
anspruchsvoll,demanding / sophisticated
wirkungsvoll,effective
bekannt,known / famous
leise,quiet / soft
die Braut,the bride
der Bräutigam,the groom
die Ehe,the marriage
die Zukunft,the future
der Heiratsantrag,the marriage proposal
die Flitterwochen,the honeymoon
der Fotograf,the photographer
der Prominente,the celebrity
der Schauspieler,the actor
die Überraschung,the surprise
die Torte,the cake
die Freundschaft,the friendship
der Spaß,the fun
das Band,the ribbon
die Diskothek,the disco / nightclub
der Alkoholrausch,the state of being drunk
die Atmosphäre,the atmosphere
der Hummer,the lobster
der Kaviar,the caviar
die Auster,the oyster
die Armbanduhr,the wristwatch
der Zeiger einer Uhr,the hand of a clock
der Abschied,the farewell
sich amüsieren,to have fun / to enjoy oneself
lächeln,to smile
grinsen,to grin
aufessen,to eat up
kauen,to chew
jemanden bedienen,to serve someone
schütteln,to shake
wachsen,to grow
erscheinen,to appear
widersprechen,to contradict
mitbringen,to bring along
menschlich,human
gemütlich,cozy / comfortable
großzügig,generous
zukünftig,future
amtlich,official
ein Ereignis überschatten,to overshadow an event
das Sternzeichen,the star sign / zodiac sign
Widder,Aries
Stier,Taurus
Zwillinge,Gemini
Krebs,Cancer
Löwe,Leo
Jungfrau,Virgo
Waage,Libra
Skorpion,Scorpio
Schütze,Sagittarius
Steinbock,Capricorn
Wassermann,Aquarius
Fische,Pisces
der Mensch,the human being
die Religion,the religion
der Buddhismus,Buddhism
das Christentum,Christianity
der Hinduismus,Hinduism
der Islam,Islam
das Judentum,Judaism
das Kloster,the monastery
der Tempel,the temple
im Himmel (Paradies) sein,to be in heaven (paradise)
der Gott,the god
der Teufel,the devil
der Geist,the ghost / spirit
die Sünde,the sin
das Kreuz,the cross
der Fluch,the curse
der Irrtum,the error
der Kult,the cult
der Vollmond,the full moon
die Hexe,the witch
das Geheimnis,the secret
der Widerspruch,the contradiction
der Nutzen,the benefit / use
die Überzeugung,the conviction / belief
das Schicksal,the fate
der Sinn,the meaning
der Ratschlag,the advice
der Instinkt,the instinct
das System,the system
das Thema,the topic
bedeuten,to mean / to signify
feststellen,to determine / to establish
etwas genießen,to enjoy something
beten,to pray
sich wundern,to wonder
beichten,to confess
überzeugen,to convince
schwören,to swear
sich irren,to be wrong
merkwürdig,strange / odd
friedlich,peaceful
flexibel,flexible
sensibel,sensitive
ausdauernd,persevering
vernünftig,reasonable
diplomatisch,diplomatic
leidenschaftlich,passionate
fortschrittlich,progressive
bescheiden,modest
komisch,funny / strange
psychisch,psychic / mental
allmächtig,almighty
teuflisch,devilish
ein Problem lösen,to solve a problem
Recht haben,to be right
Unrecht haben,to be wrong
die Wolken am Himmel,the clouds in the sky
die Gesellschaft,the society
die Macht,the power
die Demokratie,the democracy
die Allgemeinheit,the public
die Verfassung,the constitution
die Tinte,the ink
die Partei,the party
die Rede,the speech
die Politik,the politics
der Politiker,the politician
das Parlament,the parliament
die Regierung,the government
das Ministerium,the ministry
die Vorschrift,the regulation / rule
die Wahl des Präsidenten,the presidential election
der Stimmzettel,the ballot paper
der Personalausweis,the ID card
die Minderheit,the minority
die Menge,the crowd
der Andrang,the crowd / rush
der Aufstand,the uprising
der Protest,the protest
die Demonstration,the demonstration
die Auseinandersetzung,the argument / confrontation
der Skandal,the scandal
die Armee,the army
die Bombe,the bomb
der Anschlag,the attack
der Artikel in der Zeitung,the article in the newspaper
der Bericht,the report
Europa,Europe
der Europäer,the European
das Gebiet,the area / territory
die Bevölkerung,the population
die Republik,the republic
der Bürgermeister,the mayor
die Umfrage,the survey / poll
konstruieren,to construct
aufhetzen,to incite
stoppen,to stop
etwas abschaffen,to abolish something
befragen,to survey / question
aufklären über,to inform about
streiken,to strike
diskriminieren,to discriminate
erlauben,to allow
versperren,to block / obstruct
veröffentlichen,to publish
zählen,to count
konservativ,conservative
neutral,neutral
liberal,liberal
europäisch,European
politisch,political
anwesend,present
regelmäßig,regularly
rechtzeitig,on time
chaotisch,chaotic
maximal,maximum
absichtlich,intentionally
Widerstand leisten,to offer resistance
die Stimmung,the mood
die Arbeitsstelle,the job
die Industrie,the industry
die Produktion,the production
das Gleichgewicht,the balance
die Serie,the series
der Stoff,the material / fabric
der Vorstand,the board of directors
der Verband,the association
die Arbeitslosigkeit,the unemployment
die Gehaltskürzung,the pay cut
die Karriere,the career
das Talent,the talent
die Herausforderung,the challenge
der Vorschlag,the suggestion
die Stellenanzeige,the job advertisement
das Stellenangebot,the job offer
verschweigen,to conceal
sich beschäftigen mit,to occupy oneself with
sich anmelden,to register
sich verändern,to change
schaffen,to create / manage
loben,to praise
unterschätzen,to underestimate
männlich,male
weiblich,female
gegründet,founded
der Arbeitsmarkt,the job market
der Beruf,the profession
der Beamte,the civil servant
der Briefträger,the mailman
der Fischer,the fisherman
der Friseur,the hairdresser
der Grundschullehrer,the primary school teacher
das Wissen,the knowledge
der Unterricht,the lesson
der Gymnasiallehrer,the high school teacher
der Ingenieur,the engineer
der Journalist,the journalist
die Krankenschwester,the nurse
die Operation,the operation
die Erkältung,the cold
der Maurer,the bricklayer
der Komiker,the comedian
der Zahnarzt,the dentist
die Autorität,the authority
die Verpflichtung,the obligation
der Alltag,the everyday life
die Steuern,the taxes
die Methode,the method
die Ausbildung,the education / training
die Fortbildung,the further training
die Prüfung,the exam
der Durchschnitt,the average
die Zusage,the acceptance / confirmation
das Gehalt,the salary
die Anfrage,the inquiry
das Prozent,the percent
buchstabieren,to spell
beanspruchen,to claim
es betrifft mich,it concerns me
heilen,to heal
entwickeln,to develop
jemanden ansprechen,to approach someone
anerkennen,to recognize / acknowledge
ein Dokument anerkennen lassen,to have a document recognized
besetzen,to occupy
von etwas ablenken,to distract from something
vorschlagen,to suggest
löschen,to delete
lagern,to store
geduldig,patient
ungeduldig,impatient
arbeitslos,unemployed
würdevoll,dignified
talentiert,talented
begabt,gifted
bestechlich,corruptible
erfolgreich,successful
kurzfristig,short-term
der Bewohner,the resident
der Ausländer,the foreigner
der Staat,the state
der Reisepass,the passport
die Ziffer,the digit
die Staatsangehörigkeit,the nationality
das Visum,the visa
das Konsulat,the consulate
die deutsche Botschaft,the German embassy
das Rathaus,the town hall
das Schließfach,the locker
das Ausland,abroad
der Sprachkurs,the language course
die Fluggesellschaft,the airline
die Ablenkung,the distraction
die Heizung,the heating
die Wache,the guard
auswandern,to emigrate
abmelden,to deregister
trocknen,to dry
verbieten,to forbid
ausleeren,to empty
fleckig,stained
zivil,civilian
wesentlich,essential
jemanden verblüffen,to amaze someone
über etwas staunen,to marvel at something
jemanden ermuntern etwas zu tun,to encourage someone to do something
auf etwas anspielen,to allude to something
die Anspielung,the allusion
lügen,to lie
die Lüge,the lie
erwähnenswert,worth mentioning
über jemanden lästern,to gossip about someone
jemanden diskriminieren,to discriminate against someone
jemandem etwas vorwerfen,to reproach someone for something
der Vorwurf,the reproach
abwertend,derogatory
unüberlegt handeln,to act rashly
mit jemandem schimpfen,to scold someone
die Abneigung,the dislike
skeptisch,skeptical
der Ratgeber,the guide(book) / advisor
jemanden zu etwas ermutigen,to encourage someone to do something
etwas herausnehmen,to take something out
ich stimme mit dir überein,I agree with you
diskutieren,to discuss
etwas andeuten,to hint at something
etwas erwähnen,to mention something
etwas widerlegen,to refute something
jemanden überzeugen,to convince someone
eine überzeugende Darstellung,a convincing presentation
etwas laut aussprechen,to say something out loud
plappern,to chatter
abschweifend antworten,to answer digressively
"hinzufügen, ergänzen","""to add"""
aus einem Buch zitieren,to quote from a book
übersetzen,to translate
der Übersetzer,the translator
verständnisvoll,understanding
sich aussprechen,to speak one's mind
sich mit jemandem unterhalten,to have a conversation with someone
staunen,to be amazed
schluchzen,to sob
seufzen,to sigh
sich abwenden von jemandem,to turn away from someone
stottern,to stutter
die Vermutung,the assumption
der Widerstand,the resistance
jemandem widersprechen,to contradict someone
abschwächen,to weaken
jemanden anflehen,to beg someone
etwas missverstehen,to misunderstand something
sich für etwas schämen,to be ashamed of something
Bescheid sagen,to let someone know
obwohl,although
inzwischen,in the meantime
künftig,in the future
einerseits... andererseits,on the one hand... on the other hand
"dazu führen, dass...","""to lead to, to result in..."""
erstaunlich,amazing
bedeutungslos,meaningless
ohne jegliche Hilfe,without any help
zusätzlich,additional
etwas wörtlich nehmen,to take something literally
untrennbar,inseparable
etwas entziffern,to decipher something
die Silbe,the syllable
einsilbig,monosyllabic
mehrsilbig,multisyllabic
der Vokal,the vowel
der Konsonant,the consonant
die Aussprache eines Wortes,the pronunciation of a word
der Dialekt/ die Mundart,the dialect
handgeschrieben,handwritten
die Schrift,the script / handwriting
die kursive Schrift,the cursive script
das Schriftzeichen,"the character (letter, symbol)"
unterstreichen,to underline
das Leerzeichen,the space
das Satzzeichen,the punctuation mark
das Komma,the comma
der Doppelpunkt,the colon
das Fragezeichen,the question mark
das Ausrufezeichen,the exclamation mark
die Klammer (Satzzeichen),the bracket (punctuation)
der Bindestrich,the hyphen
der Apostroph,the apostrophe
das Anführungszeichen,the quotation mark
einen Satz formulieren,to formulate a sentence
der Hauptsatz,the main clause
der Nebensatz,the subordinate clause
die Wortart,the part of speech
das Substantiv,the noun
das Adjektiv,the adjective
das Adverb,the adverb
der Artikel,the article
das Pronomen,the pronoun
die Präposition,the preposition
die Konjunktion,the conjunction
ein Verb konjugieren,to conjugate a verb
sächlich,neuter
die Ironie,the irony
zynisch,cynical
glaubhaft,believable
misstrauisch,distrustful
die Theorie,the theory
etc. (et cetera),etc. (et cetera)
z.B. (zum Beispiel),e.g. (for example)
usw. (und so weiter),etc. (and so on)
flirten,to flirt
sexy,sexy
anziehend sein,to be attractive
attraktiv,attractive
unwiderstehlich,irresistible
sich zu jemandem hingezogen fühlen,to feel drawn to someone
jemanden verführen,to seduce someone
die Verführung,the seduction
mit etwas prahlen,to brag about something
jemandem schmeicheln,to flatter someone
eitel sein,to be vain
übermütig,exuberant
die Kühnheit,the audacity
der Nachtklub,the nightclub
das Nachtleben,the nightlife
jemanden anstarren,to stare at someone
jemandem einen Blick zuwerfen/ einen Blick auf jemanden werfen,to glance at someone
jemanden nach seiner Telefonnummer fragen,to ask someone for their phone number
der zukünftige Ehemann,the future husband
der Blumenstrauß,the bouquet of flowers
der Liebesbrief,the love letter
die Geste,the gesture
der Verstand,the mind / reason
miteinander schlafen,to sleep together
erregt sein,to be aroused
kuscheln,to cuddle
kitzeln,to tickle
der Glückwunsch,the congratulation
die Glückwunschkarte,the congratulations card
jemanden anlocken,to attract someone
sich mit jemandem anfreunden,to make friends with someone
cool,cool
die Trennung,the separation / breakup
der Kumpel,the buddy / pal
naiv,naive
leichtgläubig,gullible
unklug,unwise
"sich weigern, etwas dagegen haben","""to refuse, to object to"""
jemanden belästigen,to harass someone
ein Versprechen brechen,to break a promise
die Einsamkeit,the loneliness
die Turnhalle,the gym
der Saal,the hall
das Podium,the podium
die Tafel,the blackboard
die Kreide,the chalk
die Schultasche,the school bag
das Lineal,the ruler
der Zirkel,the compass
der Bleistift,the pencil
der Radiergummi,the eraser
der Taschenrechner,the calculator
die Arbeitsgruppe,the working group
der Stundenplan,the schedule / timetable
ein Referat halten,to give a presentation
das Abitur,the high school diploma (Abitur)
der Hochschulabschluss,the university degree
etwas einüben,to practice something
der Test,the test
eine Aufgabe stellen,to set a task
eine Prüfung bestehen,to pass an exam
durch eine Prüfung fallen,to fail an exam
die Fähigkeit,the ability
die Literaturliste,the bibliography
ermahnen,to admonish
mogeln,to cheat
die Hausaufgaben abschreiben,to copy homework
jemandem einen Streich spielen,to play a prank on someone
ungeschickt sein,to be clumsy
der Grünschnabel,the greenhorn
geübt sein,to be experienced
anfänglich,initial
der Analphabet,the illiterate
der Lehrling,the apprentice
der Meister,the master craftsman
sorgfältig,careful
alltäglich,everyday
der Anfänger,the beginner
der Fortgeschrittene,the advanced learner
jemanden ausbilden,to train someone
sich etwas einprägen,to memorize something
sich verspäten,to be late
der Einzelgänger,the loner
der Außenseiter,the outsider
selbstsicher sein,to be self-confident
notieren,to note down
die Fahrschule,the driving school
brav,well-behaved
frech,cheeky
der Spezialist,the specialist
der Bergbau,the mining industry
der Genosse,the comrade
der Steuerberater,the tax consultant
der Großhändler,the wholesaler
der Einzelhändler,the retailer
der Kassierer,the cashier
der Leibwächter,the bodyguard
der Polizist,the policeman
der Feuerwehrmann,the fireman
der Psychiater,the psychiatrist
der Chirurg,the surgeon
die Hebamme,the midwife
der Sanitäter,the paramedic
die Erzieherin,the kindergarten teacher
der Schmied,the blacksmith
der Gerber,the tanner
der Schneider,the tailor
der Töpfer,the potter
"der Klempner, der Installateur","""the plumber"""
der Wirt,the host / innkeeper
der Schafhirte,the shepherd
"tätig sein als, arbeiten als","""to work as"""
eine Straße asphaltieren,to pave a street
etwas biegen,to bend something
etwas sortieren,to sort something
pfuschen,to botch / bungle
sich plagen,to slave away
"ich vermisse etwas, das fehlt mir","""I'm missing something, I lack that"""
etwas auf später verschieben,to postpone something
"sich verpflichtet fühlen/ verantwortlich sein für etwas, jemanden","""to feel obliged/responsible for something, someone"""
inkompetent sein,to be incompetent
Pläne schmieden,to make plans
sich gedulden,to be patient
ehrenhaft,honorable
die Ehre,the honor
der Ruhm,the fame
das Sortiment,the assortment
der Verlag,the publishing house
die Werft,the shipyard
der Fischfang,the fishing
die Bestechlichkeit,the corruptibility
die Bezahlung,the payment
die Dienstleistung,the service
der Kurierdienst,the courier service
die Schreibwaren,the stationery
das Sportgeschäft,the sports shop
der leitende Angestellte,the executive
die Kantine,the canteen
die Konkurrenz,the competition
der Konkurrent,the competitor
konkurrenzfähig,competitive
der Einfluss,the influence
der Stapel,the pile / stack
"die Belanglosigkeit, die Bagatelle","""the triviality, the trifle"""
der Beschluss,the decision
das Fiasko,the fiasco
der Freimaurer,the freemason
der Heuchler,the hypocrite
der Konkurs,the bankruptcy
der Verräter,the traitor
zähe Verhandlungen,tough negotiations
der Rechtsanwalt,the lawyer
